DESCRIPTION,MANUFACTURER,PART NUMBER,DIGIKEY NUMBER
74LCX244MSA,FAIRCHILD,74LCX244MTCX,74LCX244MTCXCT-ND
AD5142ABRUZ10,ANALOG DEVICES,AD5142ABRUZ10,AD5142ABRUZ10-ND
ADP1715ARMZ,ANALOG DEVICES,ADP1715ARMZ-R7CT-ND,ADP1715ARMZ-R7CT-ND
ASP-134488-01,SAMTEC,ASP-134488-01,SAM8730-ND
BLM41PG600SN1,MURATA,BLM41PG600SN1L,490-1058-1-ND
CAP0402 (0.1U),TDK,C1005X7R1C104K050BC,445-4952-1-ND
CAP0402 (0.47U),TDK,C1005X5R1C474K050BC,445-4976-1-ND
CAP0603 (0.47U@16V),TDK,C1608X7R1C474K080AC,445-5192-1-ND
CAP0805 (10U),TDK,C2012X5R1C106K085AC,445-7644-1-ND
CAP0805 (4.7U),TDK,C2012X5R1C475K125AC,445-7640-1-ND
CAP10 (330U),PANASONIC,EEE-FC1E331P,PCE4007CT-ND
CAP3216E (10U),AVX,F951C106KSAAQ2,478-8454-1-ND
CAP3216E (22U),AVX,F951C226KSAAQ2,478-8464-1-ND
CAP3216E (33U),AVX,F951A336KAAAQ2,478-8433-1-ND
CAP4532 (100U),TDK,C4532X5R1A107M280KC,445-7743-1-ND
CAP7343 (100U),KEMET,T491D107K016AT,478-1778-1-ND
CAP7343 (330U),AVX,TAJY337K006RNJ,478-3277-1-ND
CONN_4P_1720650004,MOLEX,1720650004,WM10398-ND
CONN2X8_2MM,3M,151216-8422-RB,3M5362-ND
CONN4_POWER,TE CONNECTIVITY,350211-1,A1212-ND
CONN9_DB9,TE CONNECTIVITY,5747840-5,A32093-ND
FAN3P_22-11-2032,MOLEX,22112032,WM2701-ND
JUMP3,3M,951103-8622-AR,3M9322-ND
JUMP3_2MM,3M,951103-8622-AR,3M9322-ND
JUMPER2,3M,951102-8622-AR,3M9321-ND
LED0603 (RED),PANASONIC,LNJ214R82RA,P11466CT-ND
LTC2990CMS,LINEAR TECHNOLOGY,LTC2990CMS#PBF,LTC2990CMS#PBF-ND
M25P128VME6,MICRON,M25P128-VME6TGB,557-1609-1-ND
MAX3222EEUP,MAXIM INTEGRATED,MAX3222EEUP+,MAX3222EEUP+-ND
MAX8556ETE,MAXIM INTEGRATED,MAX8556ETE+T,MAX8556ETE+TCT-ND
OSC_DIFF (150M),TXC,BT-150.000MBC-T,887-1560-1-ND
PTH08T220WAH,TEXAS INSTRUMENTS,PTH08T220WAH,296-20439-ND
PTH12000WAH,TEXAS INSTRUMENTS,PTH12000WAH,296-20449-ND
RES0402 (1.02K),SAMSUNG,RC1005F1021CS,1276-4020-1-ND
RES0402 (1.4K),SAMSUNG,RC1005F1401CS,1276-3440-1-ND
RES0402 (10),SAMSUNG,RC1005F100CS,1276-3428-1-ND
RES0402 (100),SAMSUNG,RC1005F101CS,1276-3429-1-ND
RES0402 (100K),SAMSUNG,RC1005F104CS,1276-3432-1-ND
RES0402 (10K),SAMSUNG,RC1005F103CS,1276-3431-1-ND
RES0402 (1K),SAMSUNG,RC1005F102CS,1276-3430-1-ND
RES0402 (1M),SAMSUNG,RC1005F105CS,1276-3433-1-ND
RES0402 (2.4K),SAMSUNG,RC1005F242CS,1276-4050-1-ND
RES0402 (3.9K),SAMSUNG,RC1005F392CS,1276-4073-1-ND
RES0402 (330),SAMSUNG,RC1005F331CS,1276-3976-1-ND
RES0402 (33K),SAMSUNG,RC1005F333CS,1276-3461-1-ND
RES0402 (4.7K),SAMSUNG,RC1005F472CS,1276-3466-1-ND
RES0402 (5.6K),SAMSUNG,RC1005F562CS,1276-4089-1-ND
RES2512 (60mOhm),VISHAY DALE,WSL2512R0600FEA,WSLG-.06CT-ND
RESET,APEM INC,MJTP1106STR,679-2395-1-ND
RSA4 (100),VISHAY DALE,CRA06P083100RJTA,CRA6P8100CT-ND
SMA,TE CONNECTIVITY,5-1814832-1,A97594-ND
TPS3808G01DBVR,TEXAS INSTRUMENTS,TPS3808G01DBVR,296-17188-1-ND
XC6SLX150-FGG484,XILINX,XC6SLX150-3FGG484C,122-1725-ND
XC6SLX150-FGG676,XILINX,XC6SLX150-3FGG676C,122-1763-ND
XC-JTAG14,MOLEX,878311420,3M5362-ND
CAP0201 (0.47U),MURATA,GRM033R60J474KE90D,490-10409-1-ND
CAP1210 (100U),MURATA,GRM32ER60J107ME20L,445-7743-1-ND
CAP0402 (4.7U),TDK,C1005X5R0J475K050BC,445-5947-1-ND
RES0805 (100R),YAGEO,RT0805BRD07100RL,YAG1760CT-ND
CAP0805 (2.2u),Murata,GRM21BR71E225KA73L,490-3331-1-ND
CAP0805 (180p),Murata,GQM2195C2A181JB12D,490-7181-1-ND
CAP0805 (82p),Murata,GQM2195C1H820JB01D,490-3615-1-ND
CAP0805 (47p),Murata,GQM2195C1H470JB01D,490-3612-1-ND
RES0805 (1R),Stackpole Electronics Inc.,RMCF0805FT1R00,RMCF0805FT1R00TR-ND
RES2512 (6mOhm),Vishay Dale,WSL25126L000FEA,WSLG-.006CT-ND
POWER_SWITCH,NKK Switches,MS12ANW03,360-2385-ND
BSG_ASIC_2016,UCSD,N/A,N/A
BSG_ASIC_2016_SOCKET,Ironwood Electronics,N/A,N/A
