Item,Qty,Ref Des,Description,Manufacturer,Part Number,Digikey Part Number
1,3,"C1, C47, C264",CAP0805 (4.7U),TDK,C2012X5R1C475K125AC,445-7640-1-ND
2,10,"C10, C15, C19, C37, C80, C83, C241, C261, C265, C271",CAP0402 (0.1U),TDK,C1005X7R1C104K050BC,445-4952-1-ND
3,4,"C18, C20, C21, C24",CAP0603 (0.47U@16V),TDK,C1608X7R1C474K080AC,445-5192-1-ND
4,8,"C2, C3, C7, C14, C16, C98, C164, C273",CAP0805 (10U@16V),TDK,C2012X5R1C106K085AC,445-7644-1-ND
5,110,"C22, C23, C25, C26, C28, C29, C30, C31, C32, C33, C35, C36, C39, C40, C41, C43, C44, C45, C46, C48, C49, C50, C52, C53, C54, C55, C56, C57, C58, C63, C81, C89, C90, C93, C95, C96, C97, C103, C104, C105, C106, C107, C111, C112, C113, C114, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C133, C134, C135, C136, C137, C138, C143, C144, C145, C146, C147, C148, C149, C150, C151, C153, C155, C156, C175, C190, C191, C192, C193, C194, C195, C196, C197, C198, C199, C200, C201, C209, C210, C211, C212, C215, C216, C217, C218, C219, C220, C221, C222, C292, C293, C294, C295",CAP0201 (0.47U),MURATA,GRM033R60J474KE90D,490-10409-1-ND
6,2,"C227, C263",CAP0805 (2.2u),Murata,GRM21BR71E225KA73L,490-3331-1-ND
7,1,C228,CAP0805 (180p),Murata,GQM2195C2A181JB12D,490-7181-1-ND
8,1,C229,CAP0805 (82p),Murata,GQM2195C1H820JB01D,490-3615-1-ND
9,1,C230,CAP0805 (47p),Murata,GQM2195C1H470JB01D,490-3612-1-ND
10,2,"C245, C246",CAP6.3TH (100U@16V),KEMET,A750EK107M1CAAE018,399-16566-ND
11,2,"C247, C248",CAP6.3TH (470U),Nichicon,RS80J471MDN1JT,493-4040-1-ND
12,4,"C249, C250, C251, C252",CAP0805 (47U),Samsung,CL21A476MQCLRNC,1276-2420-1-ND
13,4,"C253, C254, C255, C256",CAP0805 (22U@16V),Murata,GRM219R61C226ME15L,490-9952-1-ND
14,3,"C257, C258, C259",CAP0402 (6.8n),Murata,GRM155R71E682JA01D,490-12534-1-ND
15,1,C266,CAP0805 (0.1U),TDK,C2012X7R1H104K085AA,445-7534-1-ND
16,2,"C267, C268",CAP0805 (1n),Samsung,CL21B102KBCNNNC,1276-2425-1-ND
17,1,C269,CAP0402 (2.2n),Samsung,CL05B222JB5NNNC,1276-1532-1-ND
18,2,"C27, C260",CAP3216E (10U),AVX,F951C106KSAAQ2,478-8454-1-ND
19,1,C270,CAP0402 (270p),Yageo,CC0402JRNPO9BN271,311-1665-1-ND
20,1,C272,CAP0402 (1.2n),Samsung,CL05B122JB5NNNC,1276-1514-1-ND
21,12,"C34, C65, C77, C170, C171, C172, C173, C188, C202, C203, C205, C290",CAP1210 (100U),MURATA,GRM32EC80J107ME20L,490-6533-1-ND
22,53,"C4, C38, C62, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C78, C79, C86, C88, C100, C101, C139, C140, C141, C157, C158, C159, C160, C161, C162, C163, C165, C166, C167, C168, C169, C176, C177, C178, C180, C181, C182, C187, C189, C206, C208, C226, C284, C285, C286, C287, C288, C289, C291",CAP0402 (4.7U),TDK,C1005X5R0J475K050BC,445-5947-1-ND
23,2,"C5, C6",CAP3216E (33U),AVX,F951A336KAAAQ2,478-8433-1-ND
24,1,C59,CAP0402 (0.01U),MURATA,GCM155R71H103KA55D,490-4762-1-ND
25,3,"C60, C61, C262",CAP0805 (1u),MURATA,GRM21BR71C105KA01L,490-1691-1-ND
26,5,"C8, C11, C13, C99, C274",CAP0402 (3.3n),Samsung,CL05B332KB5NNNC,1276-1552-1-ND
27,1,C82,CAP0201 (0.1U),TDK,C0603X7S1A104K030BC,445-9051-1-ND
28,10,"C9, C12, C17, C42, C51, C64, C102, C109, C275, C276",CAP0805 (22U),Samsung,CL21A226MQCLQNC,1276-2412-1-ND
29,6,"D1, D4, D11, D12, D13, D15",LED0603 (RED),PANASONIC,LNJ237W82RACT-ND,LNJ237W82RA
30,1,J1,ASP-134488-01,SAMTEC,ASP-134488-01,SAM8730-ND
31,8,"J16, J17, J18, J20, J21, J22, J23, J24",SMA,TE CONNECTIVITY,5-1814832-1,A97594-ND
32,1,J19,CONN4_POWER,TE CONNECTIVITY,350211-1,A1212-ND
33,13,"J2, J30, J31, J34, J35, J36, J37, J38, J39, J40, J41, J42, J43",JUMPER2,Amphenol FCI,68000-102HLF,609-3500-ND
34,1,J25,CONN9_DB9,TE CONNECTIVITY,5747840-5,A32093-ND
35,1,J26,CONN_4P_1720650004,MOLEX,1720650004,WM10398-ND
36,1,J28,CONN2X8_2MM,Amphenol FCI,57102-G06-08LF,609-2597-ND
37,2,"J3, J29",FAN3P_22-11-2032,MOLEX,22112032,WM2701-ND
38,5,"J32, J44, J45, J46, J47",JUMP3_2.54,Harwin Inc.,M20-9990345,952-2263-ND
39,1,J6,XC-JTAG14,MOLEX,878311420,WM17469-ND
40,5,"L1, L2, L3, L6, L7",L_VLS5045EX,TDK,VLS5045EX-1R5N,445-174847-1-ND
41,1,L5,SLC1480-301MLB,Coilcraft,SLC1480-301MLB,994-SLC1480-301MLB
42,6,"R1, R38, R39, R78, R100, R109",RES0402 (10K),Samsung,RC1005F103CS,1276-3431-1-ND
43,1,R10,RES0402 (13k),Yageo,RC0402FR-0713KL,311-13.0KLRCT-ND
44,2,"R101, R105",RES0402 (78.7k),Yageo,RC0402FR-0778K7L,311-78.7KLRCT-ND
45,1,R106,RES0402 (68.1k),Yageo,RC0402FR-0768K1L,YAG3213CT-ND
46,1,R108,RES0402 (1.1k),Yageo,AC0402FR-071K1L,YAG5267CT-ND
47,2,"R11, R20",RES0805 (100R),YAGEO,RT0805BRD07100RL,YAG1760CT-ND
48,1,R110,RES0402 (5.6k),Yageo,RC0402FR-075K6L,311-5.6KLRCT-ND
49,1,R111,RES0402 (56k),Yageo,RC0402FR-0756KL,311-56.0KLRCT-ND
50,1,R112,RES0402 (15k),Yageo,AC0402FR-0715KL,YAG3444CT-ND
51,1,R12,RES0402 (10),SAMSUNG,RC1005F100CS,1276-3428-1-ND
52,60,"R14, R16, R17, R18, R19, R30, R31, R32, R33, R34, R35, R36, R37, R40, R41, R42, R43, R44, R45, R46, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R67, R68, R70, R71, R72, R73, R74, R75, R80, R81, R82, R85, R86, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R127",RSA4 (100),YAGEO,YC164-JR-07100RL,YC164J-100TR-ND
53,18,"R15, R27, R28, R29, R79, R116, R117, R118, R119, R128, R129, R273, R274, R275, R276, R277, R278, R280",RES0402 (4.7K),SAMSUNG,RC1005F472CS,1276-3466-1-ND
54,4,"R2, R5, R64, R107",RES0805 (0R),Yageo,RC0805JR-070RL,311-0.0ARCT-ND
55,6,"R21, R23, R25, R26, R114, R115",RES0402 (100),SAMSUNG,RC1005F101CS,1276-3429-1-ND
56,1,R24,RES0402 (18k),Yageo,RC0402FR-0718KL,311-18.0KLRCT-ND
57,1,R3,RES0402 (62k),Yageo,RC0402FR-0762KL,311-62.0KLRCT-ND
58,1,R4,RES0402 (24k),Yageo,RC0402FR-0724KL,311-24KLRCT-ND
59,1,R6,RES0402 (2.7k),YAGEO,AC0402FR-072K7L,YAG3469CT-ND
60,2,"R7, R13",RES0402 (2.4K),SAMSUNG,RC1005F242CS,1276-4050-1-ND
61,4,"R76, R102, R103, R104",RES0402 (100K),SAMSUNG,RC1005F104CS,1276-3432-1-ND
62,4,"R8, R22, R77, R279",RES0402 (1K),SAMSUNG,RC1005F102CS,1276-3430-1-ND
63,6,"R84, R113, R134, R135, R136, R137",RES0402 (330),SAMSUNG,RC1005F331CS,1276-3976-1-ND
64,1,R99,RES0805 (1R),Stackpole Electronics Inc.,RMCF0805FT1R00,RMCF0805FT1R00TR-ND
65,1,S1,RESET,APEM INC,MJTP1106STR,679-2395-1-ND
66,1,SW1,POWER_SWITCH,NKK Switches,MS12ANW03,360-2385-ND
67,1,U1,74LCX244MSA,FAIRCHILD,74LCX244MTCX,74LCX244MTCXCT-ND
68,1,U11,M25P128VME6,MICRON,M25P128-VME6TGB,557-1609-1-ND
69,1,U2,TPS546C23,Texas Instruments,TPS546C23RVFT,296-44880-1-ND
70,1,U23,TPS3808G01DBVR,TEXAS INSTRUMENTS,TPS3808G01DBVR,296-17188-1-ND
71,5,"U3, U5, U10, U14, U20",TPS62136,Texas Instruments,TPS62136RGXT,296-46611-1-ND
72,1,U37,MAX3222EEUP,MAXIM INTEGRATED,MAX3222EEUP+,MAX3222EEUP+-ND
73,1,U4,XC6SLX150-FGG676,XILINX,XC6SLX150-3FGG676C,122-1763-ND
74,1,U6,ADP1715ARMZ,ANALOG DEVICES,ADP1715ARMZ-R7CT-ND,ADP1715ARMZ-R7CT-ND
75,1,U7,AD5142ABRUZ10,ANALOG DEVICES,AD5142ABRUZ10,AD5142ABRUZ10-ND
76,1,Y1,OSC_DIFF (150M),AVX Corp/Kyocera Corp,KC7050P150.000L20E00,478-6153-1-ND
77,1,Y2,OSC_26M,Abracon LLC,ASDMB-26.000MHZ-40-T,535-12148-1-ND
