Item,Qty,Ref Des,Description,Manufacturer,Part Number,Digikey Part Number
1,43,"C1, C2, C7, C8, C9, C12, C14, C15, C16, C18, C19, C20, C21, C24, C27, C51, C82, C83, C89, C99, C102, C106, C107, C109, C324, C325, C327, C330, C342, C352, C389, C390, C398, C399, C400, C408, C409, C410, C413, C414, C415, C416, C417",CAP0402 (0.1U),TDK,C1005X7R1C104K050BC,445-4952-1-ND
2,3,"C10, C282, C316",CAP0805 (4.7U),TDK,C2012X5R1E475K125AB,445-4116-1-ND
3,62,"C11, C17, C28, C29, C30, C31, C32, C33, C35, C36, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C53, C58, C60, C61, C63, C80, C81, C96, C97, C98, C103, C104, C105, C111, C112, C113, C114, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C392, C393, C395, C396, C402, C403, C405, C406",CAP0201 (0.47U),TDK,C0603X5R0J474M030BC,445-8007-1-ND
4,6,"C13, C304, C322, C355, C356, C419",CAP0402 (0.01U),Murata,GCM155R71H103KA55D,490-4762-1-ND
5,19,"C133, C250, C251, C255, C257, C258, C259, C260, C261, C262, C263, C296, C297, C298, C299, C312, C313, C314, C315",CAP0805 (47U),Samsung,CL21A476MQCLRNC,1276-2420-1-ND
6,3,"C164, C279, C309",CAP8.0 (330U),Panasonic,EEE-1CA331UP,PCE3888CT-ND
7,3,"C227, C302, C320",CAP0805 (2.2U),TDK,C2012X7R1E225K085AB,445-14535-1-ND
8,1,C228,CAP0805 (180p),Murata,GQM2195C2A181JB12D,490-7181-1-ND
9,1,C229,CAP0805 (82p),Yageo,CC0805JRNPO9BN820,311-1110-1-ND
10,1,C230,CAP0805 (47p),Yageo,CC0805JRNPO9BN470,311-1107-1-ND
11,3,"C241, C303, C321",CAP0805 (1U@16V),Yageo,CC0805KKX7R7BB105,311-1365-1-ND
12,9,"C254, C280, C281, C300, C301, C310, C311, C318, C319",CAP7343 (470U),Panasonic,EEF-GX0E471R,P122634CT-ND
13,2,"C283, C317",CAP0402 (2200p),Samsung,CL05B222JB5NNNC,1276-1532-1-ND
14,47,"C3, C4, C22, C23, C25, C26, C37, C38, C52, C59, C64, C70, C78, C79, C86, C88, C100, C101, C176, C177, C178, C180, C181, C182, C226, C271, C272, C273, C274, C275, C276, C333, C334, C335, C336, C337, C338, C346, C391, C394, C397, C401, C404, C407, C411, C412, C418",CAP0402 (4.7U),TDK,C1005X5R0J475K050BC,445-5947-1-ND
15,22,"C34, C65, C77, C92, C94, C115, C142, C183, C184, C213, C214, C232, C233, C238, C239, C245, C246, C247, C248, C249, C344, C345",CAP1210 (100U),Samsung,CL32X107MQVNNNE,1276-3399-1-ND
16,1,C343,CAP0402 (1000p),Yageo,CC0402KRX7R9BB102,311-1036-1-ND
17,32,"C357, C358, C359, C360, C361, C362, C363, C364, C365, C366, C367, C368, C369, C370, C371, C372, C373, C374, C375, C376, C377, C378, C379, C380, C381, C382, C383, C384, C385, C386, C387, C388",CAP0402 (0.22U),Yageo,CC0402KRX5R5BB224,311-1681-1-ND
18,10,"C5, C6, C243, C244, C277, C278, C305, C306, C307, C308",CAP0805 (22U@16V),Murata,GRM219R61C226ME15L,490-9952-1-ND
19,6,"C84, C108, C174, C204, C225, C236",CAP7343 (220U@6.3V),Murata,ECASD60J227M010K00,490-12529-1-ND
20,40,"C85, C87, C90, C93, C95, C131, C132, C152, C154, C185, C186, C223, C224, C234, C235, C240, C242, C252, C253, C256, C264, C265, C266, C267, C268, C269, C270, C323, C326, C328, C329, C331, C332, C347, C348, C349, C350, C351, C353, C354",CAP0805 (10U@16V),TDK,C2012X5R1C106K085AC,445-7644-1-ND
21,6,"C91, C110, C179, C207, C231, C237",CAP6.3 (100U),Panasonic,EEE-HC1C101XP,PCE3750CT-ND
22,7,"D1, D2, D4, D11, D12, D13, D15",LED0603 (RED),Rohm,SML-D12U1WT86,SML-D12U1WT86CT-ND
23,6,"FID1, FID2, FID3, FID5, FID6, FID7",FIDUCIAL15-30 (NP),DNP,DNP,DNP
24,1,IC0,ASIC_CLOUD_2019,DNP,DNP,DNP
25,18,"J1, J2, J6, J9, J10, J11, J12, J13, J14, J15, J18, J25, J27, J32, J33, J48, J49, J50",JUMPER2,3M,929647-01-02-EU,3M156268-02-ND
26,2,"J16, J17",SMA,TE Connectivity,5-1814832-1,A97594-ND
27,1,J26,CONN_4P_1720650004,Molex,1720650004,WM10398-ND
28,1,J28,CONN2X8_2MM,Amphenol ICC,57102-G06-08LF,609-2597-ND
29,1,J29,FAN3P_22-11-2032,Molex,22112032,WM2701-ND
30,1,J3,PCIE_X16,DNP,DNP,DNP
31,1,J4,MICRO-USB,Amphenol ICC,10118192-0001LF,609-4613-1-ND
32,1,J5,XC-JTAG14-RIGHT,Molex,878331420,WM18863-ND
33,1,J7,CONN2X8_2.54,3M,929665-01-08-EU,3M156306-16-ND
34,1,J8,PCIE-POWER-6PIN,Molex,39301060,WM1353-ND
35,1,L1,FERRITE_BEAD (220),Murata,BLM21PG221SN1D,490-1054-1-ND
36,6,"M1, M2, M3, M4, M5, M6",HOLL3.175 (NP),DNP,DNP,DNP
37,27,"R1, R2, R3, R4, R6, R9, R10, R14, R15, R16, R17, R23, R24, R27, R29, R38, R160, R161, R215, R243, R273, R274, R275, R276, R277, R278, R280",RES0402 (4.7k),Samsung,RC1005F472CS,1276-3466-1-ND
38,8,"R106, R108, R167, R169, R188, R191, R192, R214",RES0402 (240R),Panasonic,ERJ-2RKF2400X,P240LCT-ND
39,6,"R11, R84, R134, R135, R136, R137",RES0402 (330R),Yageo,RC0402FR-07330RL,311-330LRCT-ND
40,1,R120,RES0402 (4.99k),Panasonic,ERJ-2RKF4991X,P4.99KLCT-ND
41,1,R122,RES0402 (3.32k),Panasonic,ERJ-2RKF3321X,P3.32KLCT-ND
42,1,R123,RES0402 (143k),Yageo,RC0402FR-07143KL,YAG2979CT-ND
43,1,R124,RES0402 (20k),Yageo,RC0402FR-0720KL,311-20.0KLRCT-ND
44,1,R139,RES0402 (4.32k),Yageo,RC0402FR-074K32L,YAG3173CT-ND
45,1,R141,RES0402 (17.8k),Yageo,RC0402FR-0717K8L,YAG3012CT-ND
46,1,R142,RES0402 (48.7k),Yageo,RC0402FR-0748K7L,YAG3169CT-ND
47,1,R143,RES0402 (2.21k),Yageo,AC0402FR-072K21L,YAG5282TR-ND
48,3,"R145, R153, R242",RES0402 (499R),Yageo,RT0402FRE07499RL,YAG5935CT-ND
49,4,"R146, R147, R154, R155",RES0402 (78.7k),Panasonic,ERJ-2RKF7872X,P78.7KLCT-ND
50,1,R152,RES0402 (14k),Yageo,RC0402FR-0714KL,311-14.0KLRCT-ND
51,1,R162,RES0402 (6.81k),Yageo,RC0402FR-076K81L,311-6.81KLRCT-ND
52,1,R171,RES0402 (60.4R),Yageo,RC0402FR-0760R4L,311-60.4LRCT-ND
53,10,"R18, R19, R172, R187, R189, R190, R193, R207, R208, R213",RES0402 (100R),Yageo,RC0402FR-07100RL,311-100LRCT-ND
54,2,"R185, R186",RES0402 (15R),Yageo,AC0402FR-0715RL,YAG3445CT-ND
55,10,"R20, R39, R99, R100, R101, R107, R109, R168, R170, R279",RES0402 (1k),Yageo,RT0402FRE071KL,YAG1234CT-ND
56,2,"R205, R206",RES0402 (100k),Yageo,RC0402FR-07100KL,311-100KLRCT-ND
57,2,"R21, R164",RES0402 (1.87k),Yageo,RC0402FR-071K87L,YAG3048CT-ND
58,1,R210,RES0402 (1.15k),Yageo,RC0402FR-071K15L,YAG3033CT-ND
59,1,R211,RES0402 (2.43k),Yageo,RC0402FR-072K43L,YAG3101CT-ND
60,26,"R216, R217, R218, R219, R220, R221, R222, R223, R224, R225, R226, R227, R228, R229, R230, R231, R232, R233, R234, R235, R236, R237, R238, R239, R240, R241",RES0402 (39R),Yageo,RC0402FR-0739RL,311-39.0LRCT-ND
61,15,"R22, R47, R66, R69, R121, R125, R131, R140, R150, R151, R158, R159, R165, R166, R212",RES0402 (10k),Yageo,RC0402FR-0710KL,311-10.0KLRCT-ND
62,2,"R244, R245",RES0402 (36R),Yageo,RC0402FR-0736RL,311-36.0LRCT-ND
63,2,"R48, R126",RES0402 (4.12k),Yageo,RC0402FR-074K12L,YAG3171CT-ND
64,2,"R5, R163",RES0402 (1.5k),Yageo,RC0402FR-071K5L,311-1.50KLRCT-ND
65,1,R64,RES0805 (0R),Yageo,RC0805JR-070RL,311-0.0ARCT-ND
66,2,"R65, R130",RES0402 (110k),Yageo,RC0402FR-07110KL,311-110KLRCT-ND
67,4,"R7, R12, R13, R144",RES0402 (DNP),DNP,DNP,DNP
68,7,"R8, R25, R26, R28, R30, R31, R209",RES0402 (0R),Yageo,RC0402JR-070RL,311-0.0JRCT-ND
69,2,"R83, R133",RES0402 (7.15k),Yageo,RC0402FR-077K15L,YAG3235CT-ND
70,2,"R87, R138",RES0402 (82.5k),Yageo,ERJ-2RKF8252X,P82.5KLCT-ND
71,2,"S2, S3",PUSH_BUTTON,E-Switch,TL3301EF100QG,EG5468CT-ND
72,1,SOCKET0,ASIC_CLOUD_2019_SOCKET,DNP,DNP,DNP
73,1,SW1,PCIE-POWER-SWITCH,C&K,1101M2S3AQE2,CKN5006-ND
74,3,"TP1, TP2, TP3",TP_A (),DNP,DNP,DNP
75,3,"U1, U3, U4",SN74AVC2T245,Texas Instruments,SN74AVC2T245RSWR,296-23684-1-ND
76,2,"U10, U22",AD5142ABRUZ10,Analog Devices,AD5142ABRUZ10,AD5142ABRUZ10-ND
77,1,U12,SI5335A-B02436-GM,Silicon Labs,SI5335A-B02436-GM,336-5408-ND
78,1,U15,BNX016,Murata,BNX016-01,490-5055-ND
79,2,"U17, U21",MT40A1G16KNR-075,Micron,MT40A1G16KNR-075:E,340-345838-TRAY (Mouser.com)
