DESCRIPTION,MANUFACTURER,PART NUMBER,DIGIKEY NUMBER
CAP0402 (0.1U),TDK,C1005X7R1C104K050BC,445-4952-1-ND
CAP0805 (4.7U),TDK,C2012X5R1E475K125AB,445-4116-1-ND
CAP0201 (0.47U),TDK,C0603X5R0J474M030BC,445-8007-1-ND
CAP0402 (0.01U),Murata,GCM155R71H103KA55D,490-4762-1-ND
CAP0805 (47U),Samsung,CL21A476MQCLRNC,1276-2420-1-ND
CAP8.0 (330U),Panasonic,EEE-1CA331UP,PCE3888CT-ND
CAP0805 (2.2U),TDK,C2012X7R1E225K085AB,445-14535-1-ND
CAP0805 (180p),Murata,GQM2195C2A181JB12D,490-7181-1-ND
CAP0805 (82p),Yageo,CC0805JRNPO9BN820,311-1110-1-ND
CAP0805 (47p),Yageo,CC0805JRNPO9BN470,311-1107-1-ND
CAP0805 (1U@16V),Yageo,CC0805KKX7R7BB105,311-1365-1-ND
CAP7343 (470U),Panasonic,EEF-GX0E471R,P122634CT-ND
CAP0402 (2200p),Samsung,CL05B222JB5NNNC,1276-1532-1-ND
CAP0402 (4.7U),TDK,C1005X5R0J475K050BC,445-5947-1-ND
CAP1210 (100U),Samsung,CL32X107MQVNNNE,1276-3399-1-ND
CAP0402 (1000p),Yageo,CC0402KRX7R9BB102,311-1036-1-ND
CAP0402 (0.22U),Yageo,CC0402KRX5R5BB224,311-1681-1-ND
CAP0805 (22U@16V),Murata,GRM219R61C226ME15L,490-9952-1-ND
CAP7343 (220U@6.3V),Murata,ECASD60J227M010K00,490-12529-1-ND
CAP0805 (10U@16V),TDK,C2012X5R1C106K085AC,445-7644-1-ND
CAP6.3 (100U),Panasonic,EEE-HC1C101XP,PCE3750CT-ND
LED0603 (RED),Rohm,SML-D12U1WT86,SML-D12U1WT86CT-ND
FIDUCIAL15-30 (NP),DNP,DNP,DNP
ASIC_CLOUD_2019,DNP,DNP,DNP
JUMPER2,3M,929647-01-02-EU,3M156268-02-ND
SMA,TE Connectivity,5-1814832-1,A97594-ND
CONN_4P_1720650004,Molex,1720650004,WM10398-ND
CONN2X8_2MM,Amphenol ICC,57102-G06-08LF,609-2597-ND
FAN3P_22-11-2032,Molex,22112032,WM2701-ND
