Report Origin = (0.0, 0.0)
Units used = "mil"
"Name","layer","CenterX","CenterY","Orientation"

"C1", "Top", "282.696", "1207.289", "270"
"C2", "Bottom", "149.777", "2228.295", "180"
"C3", "Top", "5956.693", "1377.953", "0"
"C4", "Bottom", "4517.717", "2031.496", "90"
"C5", "Bottom", "4260.000", "3710.000", "90"
"C6", "Bottom", "4840.000", "3710.000", "90"
"C7", "Bottom", "333.020", "3083.093", "180"
"C8", "Bottom", "3573.100", "815.535", "0"
"C9", "Top", "341.216", "1207.263", "270"
"C10", "Top", "322.360", "1576.424", "0"
"C11", "Top", "5858.313", "1354.339", "90"
"C12", "Top", "260.282", "1727.980", "180"
"C13", "Top", "260.189", "1972.856", "180"
"C14", "Bottom", "1983.000", "708.000", "270"
"C15", "Bottom", "1983.000", "616.000", "90"
"C16", "Bottom", "2038.000", "616.000", "90"
"C17", "Top", "5480.270", "1354.322", "270"
"C18", "Bottom", "1928.000", "616.000", "90"
"C19", "Bottom", "1928.000", "708.000", "270"
"C20", "Bottom", "2038.000", "708.000", "270"
"C21", "Bottom", "1966.378", "2238.870", "270"
"C22", "Bottom", "2854.331", "1771.654", "0"
"C23", "Bottom", "2755.906", "1830.709", "270"
"C24", "Bottom", "2019.337", "2238.870", "270"
"C25", "Bottom", "2755.906", "1712.598", "90"
"C26", "Bottom", "2755.906", "1948.819", "270"
"C27", "Bottom", "192.564", "3084.381", "180"
"C28", "Bottom", "4657.472", "1496.018", "0"
"C29", "Bottom", "4657.472", "2047.199", "0"
"C30", "Bottom", "4397.629", "1496.018", "0"
"C31", "Bottom", "4397.629", "2007.829", "0"
"C32", "Bottom", "4657.472", "2007.829", "0"
"C33", "Bottom", "4657.472", "1535.388", "0"
"C34", "Top", "5013.978", "1020.454", "0"
"C35", "Bottom", "4397.629", "1535.388", "0"
"C36", "Bottom", "4795.230", "1901.583", "90"
"C37", "Top", "5956.693", "1437.008", "0"
"C38", "Bottom", "4527.947", "927.838", "0"
"C39", "Bottom", "4755.860", "1901.583", "90"
"C40", "Bottom", "4287.356", "1641.741", "90"
"C41", "Top", "4729.992", "1018.045", "180"
"C42", "Top", "5858.222", "1448.810", "270"
"C43", "Bottom", "4795.230", "1641.741", "90"
"C44", "Bottom", "4397.629", "2047.199", "0"
"C45", "Bottom", "4287.447", "1901.566", "270"
"C46", "Bottom", "4755.860", "1641.741", "90"
"C47", "Top", "5480.360", "1448.827", "90"
"C48", "Bottom", "4248.077", "1901.566", "270"
"C49", "Bottom", "4429.992", "1017.955", "0"
"C50", "Bottom", "4247.986", "1641.741", "90"
"C51", "Top", "5956.693", "1496.063", "0"
"C52", "Bottom", "2755.906", "1594.488", "90"
"C53", "Top", "4489.992", "1018.045", "180"
"C58", "Top", "4429.992", "1018.045", "180"
"C59", "Bottom", "5956.693", "2283.465", "0"
"C60", "Bottom", "5858.222", "2330.717", "90"
"C61", "Bottom", "5480.270", "2425.205", "90"
"C63", "Top", "4609.992", "1018.045", "180"
"C64", "Bottom", "5956.693", "2342.520", "0"
